BestError tolerance Kp Ki Kd
131 CTE: 0.3107 Steering Value: -0.0799813
132 CTE: 0.3075 Steering Value: 0.0345739
133 CTE: 0.3037 Steering Value: 0.0219147
134 CTE: 0.3004 Steering Value: 0.0312301
135 CTE: 0.3004 Steering Value: -0.0787693
136 CTE: 0.2973 Steering Value: 0.018306
137 CTE: 0.2937 Steering Value: 0.0110125
138 CTE: 0.2903 Steering Value: 0.0421395
139 CTE: 0.2872 Steering Value: 0.0233823
140 CTE: 0.2872 Steering Value: -0.0799501
141 CTE: 0.2842 Steering Value: 0.0307917
142 CTE: 0.2809 Steering Value: 0.0199522
143 CTE: 0.2809 Steering Value: -0.0979045
144 CTE: 0.2777 Steering Value: 0.0391358
145 CTE: 0.274 Steering Value: -0.00238394
146 CTE: 0.2706 Steering Value: 0.0525935
147 CTE: 0.2673 Steering Value: 0.0262215
148 CTE: 0.2673 Steering Value: -0.0769027
149 CTE: 0.2593 Steering Value: -0.00374605
150 CTE: 0.2564 Steering Value: -0.00933502
151 CTE: 0.2537 Steering Value: 0.0168794
152 CTE: 0.251 Steering Value: 0.0164701
153 CTE: 0.2485 Steering Value: 0.0222242
154 CTE: 0.2485 Steering Value: -0.0670599
155 CTE: 0.2464 Steering Value: 0.00973579
156 CTE: 0.2438 Steering Value: -0.00749258
157 CTE: 0.2415 Steering Value: 0.00535593
158 CTE: 0.2415 Steering Value: -0.0665185
159 CTE: 0.2393 Steering Value: 0.00193574
160 CTE: 0.2368 Steering Value: -0.00361949
161 CTE: 0.2345 Steering Value: -0.0022319
162 CTE: 0.2322 Steering Value: 0.0100236
163 CTE: 0.2322 Steering Value: -0.0666423
164 CTE: 0.2301 Steering Value: 0.00258915
165 CTE: 0.2277 Steering Value: 0.000958488
166 CTE: 0.2255 Steering Value: -0.00216652
167 CTE: 0.2233 Steering Value: 0.0103595
168 CTE: 0.2233 Steering Value: -0.0629731
169 CTE: 0.2214 Steering Value: -0.00097754
170 CTE: 0.2191 Steering Value: 0.0128003
171 CTE: 0.2191 Steering Value: -0.0756609
172 CTE: 0.2171 Steering Value: 0.0128984
173 CTE: 0.2147 Steering Value: 0.00860497
174 CTE: 0.2124 Steering Value: 0.0250442
175 CTE: 0.2104 Steering Value: 0.00138831
176 CTE: 0.2104 Steering Value: -0.0574346
177 CTE: 0.2084 Steering Value: -0.00285438
178 CTE: 0.2062 Steering Value: 0.00275071
179 CTE: 0.2041 Steering Value: 0.00757972
180 CTE: 0.2022 Steering Value: 0.0116043
181 CTE: 0.2022 Steering Value: -0.0562522
182 CTE: 0.2004 Steering Value: 0.00246888
183 CTE: 0.1984 Steering Value: -0.00916165
184 CTE: 0.1966 Steering Value: 0.00536627
185 CTE: 0.1966 Steering Value: -0.0546333
186 CTE: 0.1949 Steering Value: 0.00317507
187 CTE: 0.1929 Steering Value: -0.0104262
188 CTE: 0.1911 Steering Value: 0.00716987
189 CTE: 0.1894 Steering Value: -0.00528735
190 CTE: 0.1894 Steering Value: -0.0552867
191 CTE: 0.1877 Steering Value: 0.0030103
192 CTE: 0.1858 Steering Value: -0.0112162
193 CTE: 0.1843 Steering Value: 0.00274554
194 CTE: 0.1847 Steering Value: -0.0665501
195 CTE: 0.1847 Steering Value: -0.0540495
196 CTE: 0.1867 Steering Value: -0.13815
197 CTE: 0.1906 Steering Value: -0.195164
198 CTE: 0.1906 Steering Value: -0.065164
199 CTE: 0.1948 Steering Value: -0.22074
200 CTE: 0.2008 Steering Value: -0.270649
201 CTE: 0.2072 Steering Value: -0.335082
202 CTE: 0.2133 Steering Value: -0.309854
203 CTE: 0.2175 Steering Value: -0.245073
204 CTE: 0.2175 Steering Value: -0.134546
205 CTE: 0.2194 Steering Value: -0.178812
206 CTE: 0.22 Steering Value: -0.111546
207 CTE: 0.2188 Steering Value: -0.0633438
208 CTE: 0.2188 Steering Value: -0.100843
209 CTE: 0.2166 Steering Value: 0.00962316
210 CTE: 0.2131 Steering Value: 0.0272514
211 CTE: 0.2092 Steering Value: 0.0824323
212 CTE: 0.205 Steering Value: 0.0882523
213 CTE: 0.205 Steering Value: -0.0517471
214 CTE: 0.2012 Steering Value: 0.0893676
215 CTE: 0.1966 Steering Value: 0.110461
216 CTE: 0.1924 Steering Value: 0.105584
217 CTE: 0.1924 Steering Value: -0.0344155
218 CTE: 0.1888 Steering Value: 0.0827021
219 CTE: 0.1847 Steering Value: 0.0547776
220 CTE: 0.1812 Steering Value: 0.0841569
221 CTE: 0.1779 Steering Value: 0.0594468
222 CTE: 0.1779 Steering Value: -0.0376114
223 CTE: 0.175 Steering Value: 0.0758153
224 CTE: 0.1718 Steering Value: 0.0329504
225 CTE: 0.1693 Steering Value: 0.0528909
226 CTE: 0.167 Steering Value: 0.0327709
227 CTE: 0.167 Steering Value: -0.0391036
228 CTE: 0.1651 Steering Value: 0.0292842
229 CTE: 0.1631 Steering Value: -0.00102243
230 CTE: 0.1614 Steering Value: 0.0224901
231 CTE: 0.1599 Steering Value: 0.00248939
232 CTE: 0.1599 Steering Value: -0.0443851
233 CTE: 0.1565 Steering Value: -0.014266
234 CTE: 0.1556 Steering Value: -0.0275563
235 CTE: 0.1547 Steering Value: -0.0157152
236 CTE: 0.1538 Steering Value: -0.0202202
237 CTE: 0.153 Steering Value: -0.0232992
238 CTE: 0.153 Steering Value: -0.0455204
239 CTE: 0.1523 Steering Value: -0.0250901
240 CTE: 0.1514 Steering Value: -0.0278595
241 CTE: 0.1504 Steering Value: -0.013453
242 CTE: 0.1495 Steering Value: -0.0206506
243 CTE: 0.1486 Steering Value: -0.0172374
244 CTE: 0.1486 Steering Value: -0.0437073
245 CTE: 0.1477 Steering Value: -0.0177924
246 CTE: 0.1467 Steering Value: -0.0184884
247 CTE: 0.1457 Steering Value: -0.00807024
248 CTE: 0.1446 Steering Value: -0.00693981
249 CTE: 0.1446 Steering Value: -0.043606
250 CTE: 0.1437 Steering Value: -0.0143462
251 CTE: 0.1426 Steering Value: -0.0161328
252 CTE: 0.1415 Steering Value: -0.00510562
253 CTE: 0.1415 Steering Value: -0.0417719
254 CTE: 0.1404 Steering Value: -0.00275952
255 CTE: 0.1392 Steering Value: -0.0137327
256 CTE: 0.1381 Steering Value: 0.00106068
257 CTE: 0.137 Steering Value: -0.00591386
258 CTE: 0.137 Steering Value: -0.0402884
259 CTE: 0.136 Steering Value: -0.00494913
260 CTE: 0.1348 Steering Value: -0.00542225
261 CTE: 0.1337 Steering Value: -0.00502943
262 CTE: 0.1337 Steering Value: -0.0373821
263 CTE: 0.1327 Steering Value: -0.00584961
264 CTE: 0.1315 Steering Value: -0.000940671
265 CTE: 0.1304 Steering Value: 7.79707e-05
266 CTE: 0.1304 Steering Value: -0.0365884
267 CTE: 0.1295 Steering Value: -0.00502521
268 CTE: 0.1284 Steering Value: -0.00602835
269 CTE: 0.1274 Steering Value: -0.00217559
270 CTE: 0.1266 Steering Value: -0.00882139
271 CTE: 0.1266 Steering Value: -0.0354877
272 CTE: 0.1257 Steering Value: -0.00121149
273 CTE: 0.125 Steering Value: -0.0181017
274 CTE: 0.1266 Steering Value: -0.0844373
275 CTE: 0.1323 Steering Value: -0.217957
276 CTE: 0.1323 Steering Value: -0.0398314
277 CTE: 0.1397 Steering Value: -0.349939
278 CTE: 0.1476 Steering Value: -0.296038
279 CTE: 0.1581 Steering Value: -0.448092
280 CTE: 0.1685 Steering Value: -0.436328
281 CTE: 0.1685 Steering Value: -0.111328
282 CTE: 0.1747 Steering Value: -0.326148
283 CTE: 0.179 Steering Value: -0.217514
284 CTE: 0.1795 Steering Value: -0.137864
285 CTE: 0.177 Steering Value: -0.0186219
286 CTE: 0.177 Steering Value: -0.0967463
287 CTE: 0.1729 Steering Value: 0.0617639
288 CTE: 0.1667 Steering Value: 0.126441
289 CTE: 0.1596 Steering Value: 0.206069
290 CTE: 0.1523 Steering Value: 0.177808
291 CTE: 0.1523 Steering Value: -0.0142968
292 CTE: 0.1457 Steering Value: 0.193007
293 CTE: 0.1381 Steering Value: 0.182788
